year,region,fertrate,china,after_treatment
1987,12,1.69,FALSE,FALSE
1988,12,1.66,FALSE,FALSE
1989,12,1.57,FALSE,FALSE
1990,12,1.54,FALSE,FALSE
1991,12,1.53,FALSE,FALSE
1992,12,1.502,FALSE,FALSE
1993,12,1.458,FALSE,FALSE
1994,12,1.5,FALSE,FALSE
1995,12,1.422,FALSE,FALSE
1996,12,1.425,FALSE,FALSE
1997,12,1.388,FALSE,FALSE
1998,12,1.384,FALSE,FALSE
1999,12,1.342,FALSE,FALSE
2000,12,1.359,FALSE,FALSE
2001,12,1.33,FALSE,FALSE
2002,12,1.32,FALSE,FALSE
2003,12,1.29,FALSE,FALSE
2004,12,1.29,FALSE,FALSE
2005,12,1.26,FALSE,FALSE
2006,12,1.32,FALSE,FALSE
2007,12,1.34,FALSE,FALSE
2008,12,1.37,FALSE,FALSE
2009,12,1.37,FALSE,FALSE
2010,12,1.39,FALSE,FALSE
2011,12,1.39,FALSE,FALSE
2012,12,1.41,FALSE,FALSE
2013,12,1.43,FALSE,FALSE
2014,12,1.42,FALSE,FALSE
2015,12,1.45,FALSE,FALSE
2016,12,1.44,FALSE,FALSE
2017,12,1.43,FALSE,FALSE
2018,12,1.42,FALSE,FALSE
2019,12,1.36,FALSE,FALSE
1960,13,6.88,FALSE,FALSE
1961,13,6.877,FALSE,FALSE
1962,13,6.875,FALSE,FALSE
1963,13,6.872,FALSE,FALSE
1964,13,6.867,FALSE,FALSE
1965,13,6.864,FALSE,FALSE
1966,13,6.867,FALSE,FALSE
1967,13,6.88,FALSE,FALSE
1968,13,6.903,FALSE,FALSE
1969,13,6.937,FALSE,FALSE
1970,13,6.978,FALSE,FALSE
1971,13,7.02,FALSE,FALSE
